step,train_loss,val_loss,grad_norm
0,2735.4646,45997044.0,127923.5747
1,46912696.0,184954.2344,143304709.5314
2,188678.3906,45490.0078,1823469.647
3,46503.7188,29143.1777,496744.9855
4,29808.3691,3989.3293,309816.0868
5,4091.2627,1962.8182,86463.4975
6,1994.8381,3033.1992,51895.2573
7,3073.717,3212.8691,50899.8837
8,3157.2322,6310.106,91016.8013
9,6188.564,2163.7397,253479.075
10,2138.2456,81.6822,90696.2885
11,80.3869,3.8944,5979.3965
12,3.9689,4.6768,63.5751
13,4.7657,4.6228,3.7034
14,4.7112,4.5743,3.6739
15,4.6622,4.5306,3.6471
16,4.618,4.4911,3.6228
17,4.5782,4.4554,3.6008
18,4.5421,4.423,3.5807
19,4.5095,4.3937,3.5624
20,4.4799,4.3671,3.5458
21,4.453,4.3429,3.5306
22,4.4286,4.3209,3.5167
23,4.4064,4.3009,3.504
24,4.3861,4.2826,3.4925
25,4.3677,4.266,3.4819
26,4.3509,4.2508,3.4723
27,4.3356,4.237,3.4634
28,4.3216,4.2243,3.4553
29,4.3088,4.2128,3.4479
30,4.2971,4.2022,3.4411
31,4.2865,4.1925,3.4349
32,4.2767,4.1836,3.4292
33,4.2677,4.1755,3.424
34,4.2595,4.168,3.4192
35,4.252,4.1612,3.4148
36,4.245,4.1549,3.4107
37,4.2387,4.1491,3.407
38,4.2328,4.1437,3.4035
39,4.2274,4.1388,3.4004
40,4.2224,4.1342,3.3974
41,4.2178,4.13,3.3947
42,4.2136,4.1261,3.3922
43,4.2097,4.1225,3.3899
44,4.206,4.1192,3.3878
45,4.2026,4.1161,3.3858
46,4.1995,4.1132,3.3839
47,4.1966,4.1104,3.3822
48,4.1938,4.1079,3.3806
49,4.1912,4.1055,3.379
