step,train_loss,val_loss,grad_norm
0,0.6789,0.5496,0.597
1,0.5089,0.5803,0.237
2,0.4907,0.6592,0.2792
3,0.4733,0.6627,0.25
4,0.4437,0.6072,0.2067
5,0.4192,0.5662,0.1513
6,0.4025,0.5938,0.1902
7,0.3878,0.6526,0.2048
8,0.3719,0.6826,0.237
9,0.3522,0.7081,0.1505
10,0.338,0.7882,0.1886
11,0.3265,0.8745,0.1354
12,0.3149,0.8966,0.2216
13,0.3024,0.9468,0.1247
14,0.2936,1.0532,0.158
15,0.286,1.1039,0.2387
16,0.2764,1.2466,0.1566
17,0.2682,1.3563,0.1231
18,0.2613,1.4098,0.1439
19,0.2552,1.599,0.2114
20,0.25,1.5593,0.3624
21,0.2461,1.7878,0.479
22,0.2407,1.7554,0.5557
23,0.2323,1.936,0.3795
24,0.2238,2.0642,0.1689
25,0.2202,2.0561,0.3497
26,0.2183,2.3323,0.487
27,0.2138,2.3198,0.4525
28,0.2042,2.3572,0.1742
29,0.2023,2.5716,0.2853
30,0.1992,2.5609,0.4593
31,0.1979,2.6893,0.5014
32,0.1878,2.7634,0.2214
33,0.1857,2.7962,0.3098
34,0.1848,3.0243,0.4921
35,0.179,3.0211,0.3742
36,0.1724,3.0001,0.1594
37,0.1729,3.2202,0.4159
38,0.1688,3.2694,0.4369
39,0.1642,3.3667,0.2989
40,0.1593,3.4464,0.1514
41,0.1585,3.4047,0.3752
42,0.1574,3.5891,0.4891
43,0.1516,3.6563,0.3483
44,0.1479,3.6894,0.1563
45,0.1461,3.7916,0.29
46,0.145,3.7413,0.3968
47,0.1434,3.8714,0.4228
48,0.1384,3.9192,0.285
49,0.1351,3.9924,0.1535
50,0.1331,4.1045,0.1821
51,0.132,4.0839,0.2996
52,0.1316,4.203,0.4122
53,0.1295,4.1636,0.404
54,0.1269,4.2744,0.377
55,0.1237,4.2994,0.2708
56,0.121,4.3814,0.1912
57,0.119,4.4557,0.2135
58,0.1179,4.4682,0.1706
59,0.1168,4.5444,0.2399
60,0.1163,4.5084,0.3255
61,0.1162,4.643,0.4366
62,0.1159,4.572,0.5166
63,0.1168,4.729,0.6632
64,0.1143,4.6651,0.5834
65,0.1119,4.7785,0.4841
66,0.1077,4.8218,0.248
67,0.1057,4.83,0.161
68,0.1061,4.9409,0.4077
69,0.1065,4.8773,0.4479
70,0.1058,4.9679,0.4367
71,0.103,4.9799,0.2844
72,0.101,5.0057,0.1324
73,0.1012,5.1112,0.3104
74,0.1022,5.0531,0.4258
75,0.103,5.1749,0.5198
76,0.1003,5.1676,0.3752
77,0.0977,5.2091,0.1861
78,0.0971,5.2808,0.178
79,0.0978,5.2334,0.3147
80,0.0984,5.3352,0.4433
81,0.0974,5.312,0.4584
82,0.096,5.3745,0.275
83,0.0946,5.4094,0.1313
84,0.0942,5.4008,0.1595
85,0.0946,5.4909,0.2941
86,0.0947,5.4579,0.338
87,0.0951,5.5607,0.435
88,0.0946,5.5195,0.3694
89,0.0935,5.5955,0.3542
90,0.0923,5.5993,0.2018
91,0.0917,5.6333,0.1686
92,0.0913,5.67,0.1846
93,0.0911,5.6649,0.1211
94,0.0912,5.7281,0.2116
95,0.0914,5.7032,0.2552
96,0.0913,5.7875,0.3102
97,0.0909,5.7579,0.3518
98,0.0913,5.8392,0.3772
99,0.0915,5.7794,0.3773
